working_day,clear_d,cloudy_d,rainy_d,heavy_d,atem,hum,wind_s,casual,registered
0,0,1,0,0,0.363625,0.805833,0.160446,0.7537338037262279,1.9254707044226393
0,0,1,0,0,0.353739,0.696087,0.248539,1.0452141190889639,1.9152089580907872
1,1,0,0,0,0.189405,0.437273,0.248309,1.0612455364339144,1.5566891956216955
1,1,0,0,0,0.212122,0.590435,0.160296,1.0787343553556785,1.4123833878300218
1,1,0,0,0,0.22927,0.436957,0.1869,1.1166267963528342,1.3713364025026125
1,1,0,0,0,0.233209,0.518261,0.0895652,1.107882386891952,1.3713364025026125
1,0,1,0,0,0.208839,0.498696,0.168726,1.0204382922831314,1.4713884292381727
0,0,1,0,0,0.162254,0.535833,0.266804,1.1370304184282258,1.7734685868820765
0,1,0,0,0,0.116175,0.434167,0.36195,1.1574340405036172,1.8523557618081914
1,1,0,0,0,0.150888,0.482917,0.223267,1.1763802610021952,1.523979879188916
1,0,1,0,0,0.191464,0.686364,0.122132,1.1734654578485677,1.5624614279333624
1,1,0,0,0,0.160473,0.599545,0.304627,1.199698686231214,1.6156942370298466
1,1,0,0,0,0.150883,0.470417,0.301,1.180752465732636,1.4675402743637282
1,1,0,0,0,0.188413,0.537826,0.126548,1.1574340405036172,1.4681816335094688
0,0,1,0,0,0.248112,0.49875,0.157963,0.912590575598919,1.686885102207072
0,1,0,0,0,0.234217,0.48375,0.188433,0.8703259298713223,1.7337043198461486
0,0,1,0,0,0.176771,0.5375,0.194017,1.0656177411643555,1.7785994600480026
1,0,1,0,0,0.232333,0.861667,0.146775,1.2230171114602328,1.912643521507824
1,0,1,0,0,0.298422,0.741739,0.208317,1.122456402660089,1.3367030086326106
1,0,1,0,0,0.25505,0.538333,0.195904,1.1151693947760206,1.1622533209911206
1,1,0,0,0,0.157833,0.457083,0.353242,1.12682860739053,1.403404359789651
0,1,0,0,0,0.0790696,0.4,0.17197,1.1005953790078837,1.7753926643192988
0,1,0,0,0,0.0988391,0.436522,0.2466,1.017523489129504,1.808743339897819
1,1,0,0,0,0.11793,0.491739,0.15833,1.1107971900455795,1.4919119219018775
1,0,1,0,0,0.234526,0.616957,0.129796,0.9650570323642115,1.1911144825494555
1,0,0,1,0,0.2036,0.8625,0.29385,1.1865820720398907,2.04219806894746
1,1,0,0,0,0.2197,0.6875,0.113837,1.2142727019993507,2.078114181108943
1,0,1,0,0,0.223317,0.793043,0.1233,1.180752465732636,1.6208251101957727
0,1,0,0,0,0.212126,0.651739,0.145365,1.0568733317034733,1.7195944186398515
0,1,0,0,0,0.250322,0.722174,0.0739826,1.0320975048976408,1.7317802424089264
1,0,1,0,0,0.18625,0.60375,0.187192,1.1749228594253813,1.409176592101318
1,0,1,0,0,0.23453,0.829565,0.053213,1.167635851541313,1.5028150273794707
1,0,1,0,0,0.254417,0.775417,0.264308,1.131200812120971,1.4123833878300218
1,1,0,0,0,0.177878,0.437826,0.277752,1.1472322294659214,1.3899358177290948
1,0,1,0,0,0.228587,0.585217,0.127839,1.107882386891952,1.3059177696370536
0,0,1,0,0,0.243058,0.929167,0.161079,1.090393567970188,1.7644895588417056
0,1,0,0,0,0.291671,0.568333,0.1418,0.7202135674595133,1.5310348297920646
1,1,0,0,0,0.303658,0.738333,0.0454083,1.0612455364339144,1.3238758257177952
1,1,0,0,0,0.198246,0.537917,0.36195,1.1428600247354805,1.4046870780811325
1,0,1,0,0,0.144283,0.494783,0.188839,1.1588914420804308,1.349530191547426
1,1,0,0,0,0.149548,0.437391,0.221935,1.167635851541313,1.3886530994376132
1,1,0,0,0,0.213509,0.506364,0.10855,1.0189808907063176,1.3206690299890913
0,1,0,0,0,0.232954,0.544167,0.203367,0.8164020715292161,1.5855503571800302
0,1,0,0,0,0.324113,0.457391,0.260883,0.657545299656525,1.5804194840141041
1,1,0,0,0,0.39835,0.375833,0.417908,0.9329941976743106,1.251402242249088
1,1,0,0,0,0.254274,0.314348,0.291374,1.0320975048976408,1.2706430166213112
1,1,0,0,0,0.3162,0.423478,0.251791,0.9184201819061737,1.1282612862668597
1,1,0,0,0,0.428658,0.505,0.230104,0.8586667172568129,0.9236677187755534
1,1,0,0,0,0.511983,0.516667,0.264925,0.3922982126764352,0.8390083115377716
0,1,0,0,0,0.391404,0.187917,0.507463,0.46079608678667816,1.6375004479850328
0,1,0,0,0,0.27733,0.407826,0.223235,0.3048541180676144,1.5926053077831788
0,0,1,0,0,0.284075,0.605,0.307846,0.9519404181728883,1.7600000448215203
1,1,0,0,0,0.186033,0.577778,0.195683,1.1282860089673437,1.462409401197802
1,1,0,0,0,0.245717,0.423043,0.094113,1.0335549064744545,1.2045830246100115
1,0,1,0,0,0.289191,0.697391,0.250496,1.090393567970188,1.2501195239576064
1,0,1,0,0,0.350461,0.712174,0.346539,1.0612455364339144,1.484856971298729
0,1,0,0,0,0.282192,0.537917,0.186571,0.6181954570825556,1.3540197055676115
0,1,0,0,0,0.351109,0.68,0.125248,0.224697031342862,1.2494781648118656
1,0,1,0,0,0.400118,0.876364,0.289686,1.1180841979296479,1.4694643518009505
1,1,0,0,0,0.263879,0.535,0.216425,1.0364697096280817,1.2456300099374211
1,1,0,0,0,0.320071,0.449583,0.307833,0.8994739614075958,1.124413131392415
1,1,0,0,0,0.200133,0.318333,0.225754,1.0568733317034733,1.3431166000900183
1,0,1,0,0,0.255679,0.610417,0.203346,0.9242497882134284,1.2353682636055687
0,0,1,0,0,0.378779,0.789167,0.251871,0.30339671649080074,1.4232864933076148
0,0,1,0,0,0.366252,0.948261,0.343287,1.0699899458947963,2.0300122451783853
1,1,0,0,0,0.238461,0.551304,0.341352,0.8805277409090181,1.3007868964711273
1,1,0,0,0,0.3024,0.420833,0.12065,0.7755948273784331,1.1795700179261215
1,0,1,0,0,0.286608,0.775417,0.22015,0.957770024480143,1.2546090379777919
1,0,0,1,0,0.385668,0.0,0.261877,1.1690932531181266,1.9748553586446789
1,0,1,0,0,0.305,0.649565,0.23297,0.876155536178577,1.2353682636055687
0,1,0,0,0,0.32575,0.594583,0.220775,0.1809749840384516,1.4418859085340974
0,1,0,0,0,0.380091,0.527391,0.270604,-0.19503462277947783,1.4245692115990964
1,1,0,0,0,0.332,0.496957,0.136926,0.7129265595754448,1.2629467068724218
1,0,1,0,0,0.318178,0.655652,0.184309,0.8149446699524024,1.21163797521316
1,0,1,0,0,0.36693,0.776522,0.203117,0.7683078194943647,1.1449366240561198
1,1,0,0,0,0.410333,0.602917,0.209579,0.6181954570825556,0.8569663676185132
1,1,0,0,0,0.527009,0.525217,0.231017,-0.0522092682517372,0.8345187975175862
0,1,0,0,0,0.466525,0.379167,0.368167,-0.8392061197311245,1.2590985519979772
0,1,0,0,0,0.32575,0.47375,0.207721,-0.28976572527236705,1.431624162202245
1,0,1,0,0,0.409735,0.737391,0.288783,0.6517156933492703,1.2700016574755704
1,1,0,0,0,0.440642,0.624583,0.22575,0.5657290003172631,0.9063510218405526
1,0,1,0,0,0.337939,0.839565,0.234261,0.9402812055583789,1.1147927442063035
1,0,1,0,0,0.270833,0.805833,0.243787,0.9942050639004851,1.2552503971235327
1,1,0,0,0,0.256312,0.495,0.230725,0.7989132526074519,1.1199236173722298
0,1,0,0,0,0.257571,0.394167,0.209571,-0.19357722120266416,1.3732604799398347
0,0,1,0,0,0.250339,0.493913,0.1843,0.548240181395499,1.5618200687876216
1,1,0,0,0,0.257574,0.302174,0.212204,0.912590575598919,1.18662496852927
1,1,0,0,0,0.292908,0.314167,0.226996,0.7741374258016194,0.9929345065155568
1,0,1,0,0,0.29735,0.646667,0.172888,0.9912902607468578,1.4675402743637282
1,0,0,1,0,0.257575,0.918333,0.217646,0.9752588434019073,1.3790327122515016
1,0,1,0,0,0.283454,0.68625,0.258708,0.7887114415697561,1.113510025914822
0,0,1,0,0,0.315637,0.65375,0.197146,-0.07261289032712871,1.476519302404099
0,1,0,0,0,0.378767,0.48,0.182213,-1.1700362776678297,1.3200276708433505
1,1,0,0,0,0.542929,0.42625,0.385571,0.1664009682703148,0.8178434597283261
1,0,1,0,0,0.39835,0.642083,0.388067,0.9927476623236714,1.3007868964711273
1,1,0,0,0,0.387608,0.470833,0.263063,0.6342268744275061,0.8088644316879553
1,1,0,0,0,0.433696,0.602917,0.162312,0.40395742529094464,0.6966265811833201
1,0,1,0,0,0.324479,0.83625,0.226992,0.985460654439603,1.5117940554198415
0,0,1,0,0,0.341529,0.8775,0.133083,-0.0449222603676688,1.3341375720496476
0,0,1,0,0,0.426737,0.8575,0.146767,-0.4952593476030959,1.2501195239576064
1,0,1,0,0,0.565217,0.716956,0.324474,-0.009944622524140473,0.7460112354053596
1,0,1,0,0,0.493054,0.739167,0.274879,0.8615815204104402,1.2052243837557524
1,0,1,0,0,0.417283,0.819167,0.250617,0.9315367960974968,1.0923451741053765
1,1,0,0,0,0.462742,0.540417,0.1107,0.46516829151711925,0.5888782446988704
0,1,0,0,0,0.441913,0.67125,0.226375,0.3004819133371734,0.7517834677170265
0,0,0,1,0,0.425492,0.888333,0.340808,1.0597881348571008,1.912643521507824
0,1,0,0,0,0.445696,0.479583,0.303496,-1.0344979310241575,0.9429084931477766
1,1,0,0,0,0.503146,0.5425,0.163567,0.261132070763204,0.5747683434925734
1,0,1,0,0,0.489258,0.665833,0.157971,0.6400564807347608,0.5523207733916464
1,1,0,0,0,0.564392,0.614167,0.241925,0.3427465590647701,0.2085522712745926
1,1,0,0,0,0.453892,0.407083,0.325258,0.15036955092536433,0.13607868780588536
1,0,1,0,0,0.321954,0.729583,0.219521,0.9781736465555346,1.3790327122515016
0,0,1,0,0,0.450121,0.887917,0.230725,-0.8945873796500443,0.6940611446003571
0,0,1,0,0,0.551763,0.810833,0.192175,-1.256022970699837,0.7537075451542489
1,1,0,0,0,0.5745,0.776667,0.185333,0.10956230677458129,0.22843440479255653
1,1,0,0,0,0.594083,0.729167,0.3265,0.2480154565718809,-0.04221915471004928
1,0,1,0,0,0.575142,0.835417,0.3122,0.438935063134473,0.21240042614903723
1,0,1,0,0,0.578929,0.700833,0.320908,0.40687222844457205,0.10721752624755061
1,1,0,0,0,0.497463,0.457083,0.240063,-0.04346485879085511,-0.03901235898134541
0,1,0,0,0,0.464021,0.503333,0.235075,-1.6276603727873256,0.19829052494274024
0,0,1,0,0,0.448204,0.762083,0.106354,-0.42238926876241195,0.9255917962127758
1,0,1,0,0,0.532833,0.73,0.183454,0.001714590090368967,0.06552918177440044
1,0,1,0,0,0.582079,0.697083,0.342667,0.3573205748329069,-0.12303040707338656
1,0,1,0,0,0.40465,0.737083,0.328996,0.8644963235640676,0.8197675371655484
1,1,0,0,0,0.441917,0.444167,0.295392,0.3412891574879564,-0.10443099184690417
1,1,0,0,0,0.474117,0.59,0.228246,-0.06678328401987399,-0.0370882815441231
0,1,0,0,0,0.512621,0.54125,0.16045,-1.1131976161720962,0.3554235156492294
0,1,0,0,0,0.518933,0.631667,0.0746375,-0.8056858834644098,0.46445457042516064
1,1,0,0,0,0.525246,0.58875,0.176,0.26841907864727244,-0.026826535212270745
1,1,0,0,0,0.522721,0.489167,0.115671,0.224697031342862,-0.29042514411172804
1,1,0,0,0,0.5284,0.632917,0.120642,0.43456285840403197,0.015503168406620211
1,1,0,0,0,0.523363,0.7475,0.189667,0.22323962976604833,-0.3289066928561744
1,0,1,0,0,0.4943,0.863333,0.179725,0.22761183449648936,0.15596082132384928
0,0,1,0,0,0.500629,0.9225,0.13495,-0.07844249663438344,0.7370322073649888
0,0,1,0,0,0.536,0.867083,0.152979,-1.0694755688676858,0.4394415637412705
1,1,0,0,0,0.550512,0.787917,0.126871,0.10956230677458129,0.3021907065527453
1,0,1,0,0,0.538529,0.837917,0.277354,0.2480154565718809,0.13543732866014457
1,0,1,0,0,0.527158,0.87,0.201492,0.45496648047942345,0.21624858102348188
1,0,1,0,0,0.510742,0.829583,0.108213,0.16494356669350113,-0.11789953390746039
1,1,0,0,0,0.529042,0.719583,0.125013,-0.08864430767207919,-0.2256478703919101
0,1,0,0,0,0.571975,0.626667,0.12065,-2.054679034793734,0.07001869579458583
0,1,0,0,0,0.5745,0.749583,0.148008,-1.0607311594068038,0.3669679802725633
1,0,1,0,0,0.590296,0.81,0.233842,0.01774600743531945,0.13992684268032998
1,0,1,0,0,0.604813,0.740833,0.207092,0.2757060865313408,-0.11341001988727498
1,1,0,0,0,0.615542,0.69625,0.154233,0.15765655880943275,-0.3731604739122877
1,1,0,0,0,0.654688,0.6775,0.199642,0.1314233304267865,-0.16856690642098138
1,1,0,0,0,0.637008,0.65375,0.240679,-0.03326304775315935,-0.09737604124375568
0,1,0,0,0,0.612379,0.729583,0.230092,-1.680126829552618,0.5766924209297958
0,1,0,0,0,0.61555,0.81875,0.213938,-2.1960469877446607,0.7844927841498059
0,1,0,0,0,0.671092,0.685,0.131225,-1.0213813168328345,0.7100951232438764
1,1,0,0,0,0.725383,0.636667,0.111329,0.2553024644559493,0.2226621724808896
1,0,1,0,0,0.720967,0.677083,0.207092,0.4884867167461381,0.12517558232829223
1,1,0,0,0,0.643942,0.305,0.292287,0.16348616511668745,-0.369312319037843
1,1,0,0,0,0.587133,0.354167,0.253121,-0.07261289032712871,-0.4860396835626635
0,1,0,0,0,0.594696,0.45625,0.123142,-1.487749821413212,0.11747927257940297
0,0,1,0,0,0.616804,0.6525,0.138692,-1.2195879312794948,0.27910177730607755
1,1,0,0,0,0.621858,0.6,0.121896,0.2553024644559493,-0.1403471040083874
1,1,0,0,0,0.65595,0.597917,0.187808,0.12413632254271809,-0.265412137427838
1,1,0,0,0,0.727279,0.622083,0.136817,0.25093025972550825,-0.04414323214727159
1,0,1,0,0,0.757579,0.568333,0.149883,0.4156166379054541,0.19508372921403638
1,1,0,0,0,0.703292,0.605,0.140554,0.04835144054840673,-0.07364575285134711
0,1,0,0,0,0.678038,0.654583,0.15485,-1.2837136006592968,0.26884003097422515
0,1,0,0,0,0.643325,0.747917,0.163567,-0.9018743875341126,0.42533166253497356
1,1,0,0,0,0.601654,0.494583,0.30535,-0.021603835138649913,-0.3212103831072851
1,1,0,0,0,0.591546,0.507083,0.269283,0.17660277930801058,-0.32569989712747055
1,1,0,0,0,0.587754,0.471667,0.167912,0.11539191308183601,-0.48411560612544124
1,0,1,0,0,0.595346,0.688333,0.206471,0.44184986628810036,0.27846041816033673
1,1,0,0,0,0.600383,0.735833,0.143029,-0.021603835138649913,-0.20833117345690924
0,1,0,0,0,0.643954,0.670417,0.119408,-1.3973909236507638,0.22073809504366726
0,0,1,0,0,0.645846,0.666667,0.102,-1.1525474587460656,0.3534994382120071
1,0,1,0,0,0.595346,0.74625,0.155475,0.21741002345879362,0.22137945418940805
1,0,1,0,0,0.637646,0.770417,0.171025,0.10810490519776761,-0.259639905116171
1,1,0,0,0,0.693829,0.7075,0.172262,0.27279128337771347,-0.121747688781905
1,0,1,0,0,0.693833,0.703333,0.238804,0.14891214934855065,-0.2487367996385779
1,1,0,0,0,0.656583,0.573333,0.222025,-0.1760884022809,-0.2346268984322809
0,1,0,0,0,0.643313,0.483333,0.209571,-1.360955884230422,0.1514713073036639
0,1,0,0,0,0.637629,0.513333,0.0945333,-1.56207730183071,0.17391887740459092
1,0,1,0,0,0.637004,0.658333,0.107588,-0.008487220947326794,-0.12687856194783118
1,1,0,0,0,0.692558,0.634167,0.144283,0.16931577142394216,-0.16664282898375907
1,1,0,0,0,0.654688,0.497917,0.261821,0.0002571885135552871,-0.462309395170255
1,1,0,0,0,0.637008,0.434167,0.185312,-0.26061769373609345,-0.5335002603474807
1,1,0,0,0,0.652162,0.39625,0.102608,-0.5797886390582894,-0.2949146581319135
0,1,0,0,0,0.667308,0.444583,0.115062,-1.9759793496457951,0.4753576759027538
0,0,1,0,0,0.668575,0.6825,0.228858,-2.089656672637262,0.8268224877686968
0,0,1,0,0,0.665417,0.637917,0.0814792,-3.2308021072823734,0.43495204972108514
1,1,0,0,0,0.696338,0.590417,0.126258,-0.26644730004334816,0.014220450115138667
1,1,0,0,0,0.685633,0.743333,0.149883,0.09353088942963081,-0.12110632963616424
1,1,0,0,0,0.686871,0.65125,0.1592,0.1372529367340412,-0.11661681561597884
1,0,1,0,0,0.670483,0.757917,0.225129,0.22761183449648936,0.19764916579699948
0,1,0,0,0,0.664158,0.609167,0.167912,-1.6611806090540402,0.19764916579699948
0,1,0,0,0,0.690025,0.578333,0.183471,-1.3041172227346884,0.33233458640256164
1,1,0,0,0,0.729804,0.635833,0.282337,0.18243238561526529,0.1880287786108879
1,1,0,0,0,0.739275,0.559167,0.200254,0.2713338818008998,0.038592097653288006
1,1,0,0,0,0.689404,0.631667,0.146133,0.1459973461949233,0.03987481594476955
1,1,0,0,0,0.635104,0.47625,0.240667,-0.05803887455899191,-0.34622338979117523
1,1,0,0,0,0.624371,0.59125,0.182833,-0.6847215525888743,-0.36161600928895377
0,1,0,0,0,0.638263,0.585,0.208342,-2.2878632870839226,0.09695577991569826
0,1,0,0,0,0.669833,0.604167,0.245033,-1.6874138374366863,0.23099984137551963
1,1,0,0,0,0.703925,0.65125,0.215804,0.010458999551251047,0.025123555592731793
1,1,0,0,0,0.747479,0.650417,0.1306,0.14016773988766856,-0.085190217474681
1,1,0,0,0,0.74685,0.707083,0.113817,0.29756711018354604,-0.020412943754863026
1,0,1,0,0,0.826371,0.69125,0.222021,0.31505592910531016,0.3233555583621908
1,1,0,0,0,0.840896,0.580417,0.1331,0.4170740394822678,0.5330799990194233
0,1,0,0,0,0.804287,0.5,0.131221,-0.20232163066354625,0.8710762688248102
0,1,0,0,0,0.794829,0.550833,0.169171,-0.2941379300028081,0.705605609223691
1,1,0,0,0,0.720958,0.757083,0.0908083,0.4083296300213857,0.24639246087329816
1,1,0,0,0,0.696979,0.540833,0.200258,0.14308254304129595,-0.11789953390746039
1,1,0,0,0,0.690667,0.402917,0.183463,0.13579553515722753,-0.1570224417976475
1,1,0,0,0,0.7399,0.583333,0.178479,0.3529483701024659,-0.08198342174597714
1,1,0,0,0,0.785967,0.5425,0.174138,0.2596746691863903,0.3079629388644123
0,1,0,0,0,0.728537,0.465833,0.168537,-1.0359553326009712,0.47471631675701303
0,1,0,0,0,0.729796,0.480833,0.164813,-0.9849462774124924,0.5632238788692395
1,1,0,0,0,0.703292,0.550833,0.156717,0.17368797615438322,0.07643228725199355
1,1,0,0,0,0.707071,0.49125,0.20585,0.06875506262379825,-0.2487367996385779
1,0,1,0,0,0.679937,0.6575,0.135583,0.5555271892795673,0.35221671992052556
1,0,1,0,0,0.664788,0.7575,0.19715,0.07166986577742561,-0.07749390772579173
1,1,0,0,0,0.656567,0.630833,0.184696,-0.25478808742883874,-0.1198236113446827
0,0,1,0,0,0.676154,0.755,0.22825,-0.9805740726820514,0.5664306745979434
0,1,0,0,0,0.715292,0.752917,0.201487,-0.6555735210526007,0.7498593902798042
1,1,0,0,0,0.703283,0.592083,0.192175,0.003171991667182647,0.11298975855921757
1,1,0,0,0,0.724121,0.570417,0.151121,-0.08572950451845184,-0.02490245777504843
1,1,0,0,0,0.684983,0.424167,0.200258,-0.0522092682517372,-0.1538156460689436
1,1,0,0,0,0.651521,0.42375,0.164796,0.05272364527884777,-0.20768981431116848
1,1,0,0,0,0.654042,0.415,0.125621,-0.29559533157962176,-0.12687856194783118
0,0,1,0,0,0.645858,0.729583,0.211454,-0.9557982458762189,0.6478832861070215
0,0,1,0,0,0.624388,0.8175,0.222633,-0.7138695841251479,0.753066186008508
1,1,0,0,0,0.616167,0.712083,0.208954,0.10664750362095393,0.05975694946273348
1,1,0,0,0,0.645837,0.578333,0.236329,0.18534718876889264,-0.223082433808947
1,1,0,0,0,0.666671,0.575417,0.143667,0.26258947234001767,-0.23719233501524398
1,1,0,0,0,0.662258,0.654583,0.233208,0.3048541180676144,0.31437653032182
1,0,1,0,0,0.633221,0.722917,0.139308,0.07458466893105296,0.1925182926310733
0,1,0,0,0,0.648996,0.674167,0.104467,-1.5533328923698277,0.2431856651445943
0,1,0,0,0,0.675525,0.77,0.248754,-0.5841608437887305,0.6619931873133185
1,1,0,0,0,0.638254,0.47,0.27675,0.022118212165760487,-0.172415061295426
1,1,0,0,0,0.606067,0.455417,0.146763,-0.6307976942467681,-0.614311512710818
1,1,0,0,0,0.630692,0.605,0.253108,-0.1469403707446264,-0.33660300260506365
1,0,1,0,0,0.645854,0.771667,0.210833,0.6021640397376051,0.35221671992052556
1,1,0,0,0,0.659733,0.76125,0.0839625,0.11684931465864969,-0.1518915686317213
0,0,1,0,0,0.635556,0.85,0.375617,0.9067609692916643,1.774751305173558
0,1,0,0,0,0.647959,0.561765,0.304659,-0.8260895055398013,0.4727922393197907
1,1,0,0,0,0.607958,0.554583,0.159825,0.17368797615438322,-0.15958787838061056
1,1,0,0,0,0.594704,0.548333,0.125008,0.10664750362095393,-0.4956600707487751
1,1,0,0,0,0.611121,0.597917,0.0833333,0.2334414408037441,-0.45781988115006955
1,1,0,0,0,0.614921,0.639167,0.141796,0.09498829100644449,-0.43344823361192025
